Target PDB,URL,Cluster ID,Cluster Ranking,HADDOCK score,Cluster size,RMSD from the overall lowest-energy structure,Van der Waals energy,Electrostatic energy,Desolvation energy,Restraints violation energy,Buried Surface Area,Z-Score,HADDOCK Result PDB Filename
myosin_binder_2fxo_2_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347034-myosin_binder_2fxo_2_hotspot_0,1,0,-19.8 +/- 1.8,29,4.8 +/- 0.6,-43.9 +/- 6.1,-343.1 +/- 9.3,9.6 +/- 3.2,831.2 +/- 69.9,1696.5 +/- 122.9,-1.7,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_2fxo_2_hotspot_0_cluster0.pdb
myosin_binder_2fxo_2_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347034-myosin_binder_2fxo_2_hotspot_0,2,1,-16.5 +/- 3.5,26,1.9 +/- 0.8,-43.3 +/- 8.5,-357.4 +/- 59.4,13.5 +/- 7.1,847.8 +/- 56.4,1787.1 +/- 118.4,-1.3,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_2fxo_2_hotspot_0_cluster1.pdb
myosin_binder_2fxo_2_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347034-myosin_binder_2fxo_2_hotspot_0,3,2,-15.6 +/- 5.0,12,14.4 +/- 0.1,-48.9 +/- 1.4,-282.6 +/- 18.2,12.5 +/- 6.1,772.6 +/- 87.7,1786.1 +/- 58.2,-1.1,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_2fxo_2_hotspot_0_cluster2.pdb
myosin_binder_2fxo_2_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347034-myosin_binder_2fxo_2_hotspot_0,5,3,-6.5 +/- 7.6,7,10.6 +/- 0.5,-35.3 +/- 4.1,-330.6 +/- 33.9,17.4 +/- 3.2,775.7 +/- 69.9,1662.7 +/- 118.5,0.1,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_2fxo_2_hotspot_0_cluster3.pdb
myosin_binder_2fxo_2_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347034-myosin_binder_2fxo_2_hotspot_0,8,4,-5.2 +/- 5.4,6,15.7 +/- 0.1,-56.3 +/- 2.4,-156.5 +/- 28.2,6.5 +/- 2.2,759.4 +/- 66.2,1770.3 +/- 104.3,0.3,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_2fxo_2_hotspot_0_cluster4.pdb
myosin_binder_2fxo_2_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347034-myosin_binder_2fxo_2_hotspot_0,14,5,-4.7 +/- 17.2,4,14.0 +/- 0.1,-41.4 +/- 9.0,-290.9 +/- 63.6,15.9 +/- 1.4,789.9 +/- 22.7,1814.4 +/- 116.0,0.3,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_2fxo_2_hotspot_0_cluster5.pdb
myosin_binder_rabbit_0to100_hotspot_0 ,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/346997-myosin_binder_rabbit_0to100_hotspot_0,3,0,-44.7 +/- 2.6,15,1.5 +/- 0.9,-45.6 +/- 3.7,-378.4 +/- 22.4,12.4 +/- 4.2,642.6 +/- 95.0,1702.0 +/- 58.3,-1.9,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_0to100_hotspot_0 _cluster0.pdb
myosin_binder_rabbit_0to100_hotspot_0 ,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/346997-myosin_binder_rabbit_0to100_hotspot_0,1,1,-34.1 +/- 6.5,18,4.5 +/- 0.2,-43.8 +/- 8.4,-307.9 +/- 39.2,6.5 +/- 2.5,648.2 +/- 71.1,1668.2 +/- 135.7,-1.0,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_0to100_hotspot_0 _cluster1.pdb
myosin_binder_rabbit_0to100_hotspot_0 ,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/346997-myosin_binder_rabbit_0to100_hotspot_0,5,2,-33.3 +/- 1.4,12,9.7 +/- 0.4,-40.6 +/- 4.6,-271.3 +/- 44.7,9.2 +/- 5.9,523.6 +/- 27.3,1548.3 +/- 40.6,-1.0,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_0to100_hotspot_0 _cluster2.pdb
myosin_binder_rabbit_0to100_hotspot_0 ,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/346997-myosin_binder_rabbit_0to100_hotspot_0,13,3,-22.5 +/- 7.0,4,10.4 +/- 0.3,-27.7 +/- 5.5,-362.6 +/- 41.6,10.7 +/- 4.9,670.2 +/- 65.2,1653.2 +/- 10.2,-0.1,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_0to100_hotspot_0 _cluster3.pdb
myosin_binder_rabbit_0to100_hotspot_0 ,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/346997-myosin_binder_rabbit_0to100_hotspot_0,2,4,-22.5 +/- 3.3,17,9.3 +/- 0.3,-28.5 +/- 5.1,-330.9 +/- 45.4,7.5 +/- 2.4,646.5 +/- 31.5,1487.8 +/- 74.0,-0.1,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_0to100_hotspot_0 _cluster4.pdb
myosin_binder_rabbit_0to100_hotspot_0 ,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/346997-myosin_binder_rabbit_0to100_hotspot_0,4,5,-19.8 +/- 7.6,14,15.8 +/- 0.1,-41.2 +/- 4.2,-251.0 +/- 38.0,13.6 +/- 3.6,580.1 +/- 80.7,1742.3 +/- 67.0,0.1,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_0to100_hotspot_0 _cluster5.pdb
myosin_binder_rabbit_50to150_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347035-myosin_binder_rabbit_50to150_hotspot_0,1,0,-49.8 +/- 5.4,21,5.4 +/- 0.3,-47.2 +/- 6.4,-344.9 +/- 17.6,15.4 +/- 3.0,509.6 +/- 35.3,1835.0 +/- 75.5,-1.9,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_50to150_hotspot_0_cluster0.pdb
myosin_binder_rabbit_50to150_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347035-myosin_binder_rabbit_50to150_hotspot_0,3,1,-44.1 +/- 6.8,10,9.8 +/- 0.1,-43.8 +/- 5.2,-343.0 +/- 36.6,17.8 +/- 4.4,505.4 +/- 42.5,1889.0 +/- 91.8,-1.5,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_50to150_hotspot_0_cluster1.pdb
myosin_binder_rabbit_50to150_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347035-myosin_binder_rabbit_50to150_hotspot_0,2,2,-35.8 +/- 20.1,10,0.5 +/- 0.3,-34.8 +/- 3.5,-399.6 +/- 29.4,14.7 +/- 3.9,642.3 +/- 103.0,1641.0 +/- 89.2,-0.8,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_50to150_hotspot_0_cluster2.pdb
myosin_binder_rabbit_50to150_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347035-myosin_binder_rabbit_50to150_hotspot_0,10,3,-25.4 +/- 10.6,6,8.4 +/- 0.2,-35.2 +/- 5.1,-389.2 +/- 77.3,18.0 +/- 3.1,696.9 +/- 68.0,1516.2 +/- 96.6,-0.1,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_50to150_hotspot_0_cluster3.pdb
myosin_binder_rabbit_50to150_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347035-myosin_binder_rabbit_50to150_hotspot_0,7,4,-19.2 +/- 7.7,7,10.0 +/- 0.4,-37.4 +/- 4.2,-277.8 +/- 34.4,9.5 +/- 3.5,643.4 +/- 45.4,1691.1 +/- 114.2,0.4,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_50to150_hotspot_0_cluster4.pdb
myosin_binder_rabbit_50to150_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347035-myosin_binder_rabbit_50to150_hotspot_0,8,5,-18.6 +/- 4.7,7,12.8 +/- 0.5,-41.7 +/- 9.8,-194.6 +/- 44.0,7.7 +/- 5.3,543.4 +/- 90.2,1670.6 +/- 83.7,0.5,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_50to150_hotspot_0_cluster5.pdb
myosin_binder_rabbit_100to200_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347036-myosin_binder_rabbit_100to200_hotspot_0,11,0,-35.7 +/- 4.9,7,4.9 +/- 1.0,-39.2 +/- 7.3,-347.1 +/- 21.5,8.5 +/- 1.7,643.7 +/- 55.9,1581.8 +/- 130.7,-2.2,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_100to200_hotspot_0_cluster0.pdb
myosin_binder_rabbit_100to200_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347036-myosin_binder_rabbit_100to200_hotspot_0,8,1,-28.1 +/- 7.5,7,11.8 +/- 0.4,-34.5 +/- 4.2,-387.9 +/- 6.4,10.7 +/- 3.9,732.8 +/- 53.3,1669.4 +/- 71.2,-0.6,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_100to200_hotspot_0_cluster1.pdb
myosin_binder_rabbit_100to200_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347036-myosin_binder_rabbit_100to200_hotspot_0,5,2,-27.8 +/- 5.0,9,13.7 +/- 0.0,-52.8 +/- 5.6,-216.8 +/- 35.9,12.7 +/- 1.5,556.6 +/- 66.8,1773.6 +/- 63.6,-0.5,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_100to200_hotspot_0_cluster2.pdb
myosin_binder_rabbit_100to200_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347036-myosin_binder_rabbit_100to200_hotspot_0,2,3,-25.7 +/- 4.6,18,16.0 +/- 0.1,-53.3 +/- 5.0,-194.1 +/- 21.2,10.7 +/- 3.6,557.0 +/- 49.7,1746.8 +/- 46.5,-0.1,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_100to200_hotspot_0_cluster3.pdb
myosin_binder_rabbit_100to200_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347036-myosin_binder_rabbit_100to200_hotspot_0,7,4,-25.4 +/- 6.8,8,11.0 +/- 0.6,-46.9 +/- 5.2,-213.0 +/- 46.4,2.6 +/- 3.2,615.9 +/- 27.0,1612.6 +/- 82.5,-0.0,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_100to200_hotspot_0_cluster4.pdb
myosin_binder_rabbit_100to200_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347036-myosin_binder_rabbit_100to200_hotspot_0,10,5,-25.1 +/- 9.2,7,10.2 +/- 0.7,-38.9 +/- 13.4,-245.3 +/- 51.4,6.9 +/- 4.9,560.0 +/- 50.5,1490.9 +/- 92.2,0.1,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_100to200_hotspot_0_cluster5.pdb
myosin_binder_rabbit_150to250_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347037-myosin_binder_rabbit_150to250_hotspot_0,2,0,-25.2 +/- 8.7,21,10.8 +/- 0.6,-39.6 +/- 6.8,-238.5 +/- 18.7,4.7 +/- 2.3,573.9 +/- 96.8,1575.7 +/- 92.9,-1.9,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_150to250_hotspot_0_cluster0.pdb
myosin_binder_rabbit_150to250_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347037-myosin_binder_rabbit_150to250_hotspot_0,4,1,-21.8 +/- 7.5,10,10.2 +/- 0.3,-51.8 +/- 7.6,-147.9 +/- 38.0,9.1 +/- 3.5,504.1 +/- 43.1,1688.1 +/- 105.7,-1.2,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_150to250_hotspot_0_cluster1.pdb
myosin_binder_rabbit_150to250_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347037-myosin_binder_rabbit_150to250_hotspot_0,1,2,-18.2 +/- 4.7,21,13.6 +/- 0.4,-30.9 +/- 5.1,-255.8 +/- 7.1,6.0 +/- 1.0,578.9 +/- 88.3,1563.4 +/- 89.1,-0.6,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_150to250_hotspot_0_cluster2.pdb
myosin_binder_rabbit_150to250_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347037-myosin_binder_rabbit_150to250_hotspot_0,9,3,-17.2 +/- 12.2,6,11.3 +/- 0.6,-38.4 +/- 5.3,-214.6 +/- 66.4,5.6 +/- 3.1,585.0 +/- 77.4,1520.8 +/- 56.8,-0.4,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_150to250_hotspot_0_cluster3.pdb
myosin_binder_rabbit_150to250_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347037-myosin_binder_rabbit_150to250_hotspot_0,3,4,-15.5 +/- 6.2,14,9.8 +/- 0.3,-38.0 +/- 0.4,-203.0 +/- 44.1,6.1 +/- 3.9,570.0 +/- 38.0,1722.2 +/- 86.0,-0.1,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_150to250_hotspot_0_cluster4.pdb
myosin_binder_rabbit_150to250_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347037-myosin_binder_rabbit_150to250_hotspot_0,11,5,-12.5 +/- 1.9,5,13.8 +/- 0.1,-38.4 +/- 2.5,-236.9 +/- 26.6,5.4 +/- 1.6,679.0 +/- 49.7,1597.9 +/- 53.3,0.4,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_150to250_hotspot_0_cluster5.pdb
myosin_binder_rabbit_200to300_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347038-myosin_binder_rabbit_200to300_hotspot_0,13,0,-35.7 +/- 8.8,6,0.6 +/- 0.3,-50.6 +/- 3.8,-253.7 +/- 25.8,17.8 +/- 1.9,477.8 +/- 53.8,1935.0 +/- 107.1,-1.5,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_200to300_hotspot_0_cluster0.pdb
myosin_binder_rabbit_200to300_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347038-myosin_binder_rabbit_200to300_hotspot_0,2,1,-35.6 +/- 4.7,14,10.1 +/- 0.5,-66.1 +/- 8.5,-141.6 +/- 29.7,3.9 +/- 5.9,549.9 +/- 31.0,1836.9 +/- 65.1,-1.5,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_200to300_hotspot_0_cluster1.pdb
myosin_binder_rabbit_200to300_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347038-myosin_binder_rabbit_200to300_hotspot_0,1,2,-31.5 +/- 6.1,24,5.4 +/- 0.8,-64.0 +/- 4.2,-122.9 +/- 14.8,4.6 +/- 1.0,524.9 +/- 49.6,1803.8 +/- 26.4,-1.1,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_200to300_hotspot_0_cluster2.pdb
myosin_binder_rabbit_200to300_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347038-myosin_binder_rabbit_200to300_hotspot_0,15,3,-22.7 +/- 4.8,5,8.4 +/- 0.1,-41.8 +/- 2.6,-233.5 +/- 37.2,17.3 +/- 2.2,484.8 +/- 26.5,1713.5 +/- 35.5,-0.3,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_200to300_hotspot_0_cluster3.pdb
myosin_binder_rabbit_200to300_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347038-myosin_binder_rabbit_200to300_hotspot_0,14,4,-16.5 +/- 6.5,5,10.2 +/- 0.1,-50.7 +/- 4.9,-216.7 +/- 57.0,6.6 +/- 3.0,708.8 +/- 35.2,1758.8 +/- 58.1,0.2,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_200to300_hotspot_0_cluster4.pdb
myosin_binder_rabbit_200to300_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347038-myosin_binder_rabbit_200to300_hotspot_0,11,5,-13.0 +/- 16.3,6,13.7 +/- 0.1,-41.2 +/- 1.7,-222.9 +/- 39.1,18.0 +/- 1.1,547.9 +/- 75.5,1719.8 +/- 30.7,0.5,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_200to300_hotspot_0_cluster5.pdb
myosin_binder_rabbit_250to350_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347039-myosin_binder_rabbit_250to350_hotspot_0,3,0,-20.2 +/- 5.6,12,13.9 +/- 0.1,-52.8 +/- 3.0,-154.9 +/- 21.1,13.1 +/- 3.3,504.9 +/- 36.2,1633.2 +/- 24.1,-2.0,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_250to350_hotspot_0_cluster0.pdb
myosin_binder_rabbit_250to350_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347039-myosin_binder_rabbit_250to350_hotspot_0,5,1,-16.8 +/- 14.1,10,13.1 +/- 0.9,-51.2 +/- 8.6,-213.9 +/- 61.1,14.4 +/- 5.0,628.0 +/- 140.4,1638.6 +/- 66.3,-1.0,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_250to350_hotspot_0_cluster1.pdb
myosin_binder_rabbit_250to350_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347039-myosin_binder_rabbit_250to350_hotspot_0,2,2,-15.3 +/- 5.2,13,12.4 +/- 0.3,-44.5 +/- 5.7,-202.6 +/- 17.1,10.9 +/- 3.0,587.6 +/- 40.3,1414.3 +/- 85.3,-0.6,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_250to350_hotspot_0_cluster2.pdb
myosin_binder_rabbit_250to350_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347039-myosin_binder_rabbit_250to350_hotspot_0,15,3,-14.3 +/- 3.6,4,7.9 +/- 0.1,-50.0 +/- 1.4,-150.7 +/- 19.9,7.1 +/- 1.6,587.4 +/- 71.8,1623.7 +/- 48.8,-0.3,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_250to350_hotspot_0_cluster3.pdb
