Target PDB,URL,Cluster ID,Cluster Ranking,HADDOCK score,Cluster size,RMSD from the overall lowest-energy structure,Van der Waals energy,Electrostatic energy,Desolvation energy,Restraints violation energy,Buried Surface Area,Z-Score,HADDOCK Result PDB Filename
MyoHead_0_A102I_None,https://rascar.science.uu.nl/haddock2.4/result/6886575225/385818-MyoHead_0_A102I_None,7,3,-68.3 +/- 4.8,4,4.3 +/- 0.3,-88.4 +/- 5.0,-121.0 +/- 27.3,13.9 +/- 2.9,303.5 +/- 26.8,2223.4 +/- 57.5,-0.1,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_llm_refinement/Haddock_results/MyoHead_0_A102I_None_cluster3.pdb
MyoHead_0_A102I_None,https://rascar.science.uu.nl/haddock2.4/result/6886575225/385818-MyoHead_0_A102I_None,6,4,-66.7 +/- 10.6,4,8.2 +/- 0.0,-82.2 +/- 5.9,-145.6 +/- 37.3,12.2 +/- 6.7,324.4 +/- 67.7,2026.5 +/- 79.9,0.0,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_llm_refinement/Haddock_results/MyoHead_0_A102I_None_cluster4.pdb
MyoHead_0_A102I_None,https://rascar.science.uu.nl/haddock2.4/result/6886575225/385818-MyoHead_0_A102I_None,3,5,-50.4 +/- 12.1,7,5.6 +/- 0.1,-75.8 +/- 7.4,-114.3 +/- 38.8,16.3 +/- 4.3,319.3 +/- 20.2,1880.1 +/- 106.1,1.0,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_llm_refinement/Haddock_results/MyoHead_0_A102I_None_cluster5.pdb
MyoHead_0_L96A_None,https://rascar.science.uu.nl/haddock2.4/result/6886575225/385819-MyoHead_0_L96A_None,2,0,-95.3 +/- 1.4,40,2.7 +/- 0.2,-92.2 +/- 5.6,-258.1 +/- 10.7,17.3 +/- 4.5,312.8 +/- 33.4,2098.6 +/- 142.3,-1.4,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_llm_refinement/Haddock_results/MyoHead_0_L96A_None_cluster0.pdb
MyoHead_0_L96A_None,https://rascar.science.uu.nl/haddock2.4/result/6886575225/385819-MyoHead_0_L96A_None,3,1,-87.4 +/- 7.7,9,4.4 +/- 0.1,-88.0 +/- 5.5,-272.5 +/- 38.8,17.7 +/- 3.0,373.8 +/- 30.6,2045.6 +/- 52.1,-0.9,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_llm_refinement/Haddock_results/MyoHead_0_L96A_None_cluster1.pdb
MyoHead_0_L96A_None,https://rascar.science.uu.nl/haddock2.4/result/6886575225/385819-MyoHead_0_L96A_None,1,2,-83.6 +/- 8.5,96,0.6 +/- 0.4,-88.8 +/- 3.2,-177.5 +/- 24.9,10.0 +/- 6.6,306.7 +/- 82.1,2103.7 +/- 103.2,-0.7,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_llm_refinement/Haddock_results/MyoHead_0_L96A_None_cluster2.pdb
MyoHead_0_L96A_None,https://rascar.science.uu.nl/haddock2.4/result/6886575225/385819-MyoHead_0_L96A_None,6,3,-75.6 +/- 10.7,5,2.5 +/- 0.2,-78.4 +/- 4.5,-201.7 +/- 44.3,15.9 +/- 6.6,271.7 +/- 56.0,2008.9 +/- 88.2,-0.2,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_llm_refinement/Haddock_results/MyoHead_0_L96A_None_cluster3.pdb
MyoHead_0_L96A_None,https://rascar.science.uu.nl/haddock2.4/result/6886575225/385819-MyoHead_0_L96A_None,7,4,-56.6 +/- 8.8,4,7.5 +/- 0.0,-85.2 +/- 7.6,-81.3 +/- 24.4,13.5 +/- 5.4,314.1 +/- 19.5,2098.7 +/- 134.8,1.0,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_llm_refinement/Haddock_results/MyoHead_0_L96A_None_cluster4.pdb
MyoHead_0_L96A_None,https://rascar.science.uu.nl/haddock2.4/result/6886575225/385819-MyoHead_0_L96A_None,4,5,-55.6 +/- 5.6,7,7.8 +/- 0.0,-76.0 +/- 1.6,-167.6 +/- 48.4,13.4 +/- 5.2,404.4 +/- 23.0,1916.6 +/- 46.7,1.1,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_llm_refinement/Haddock_results/MyoHead_0_L96A_None_cluster5.pdb
MyoHead_0_A102T_L114M,https://rascar.science.uu.nl/haddock2.4/result/6886575225/385821-MyoHead_0_A102T_L114M,1,0,-94.3 +/- 6.8,66,6.1 +/- 0.6,-85.2 +/- 2.3,-255.4 +/- 48.4,16.8 +/- 3.3,252.4 +/- 40.6,2147.6 +/- 93.1,-1.8,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_llm_refinement/Haddock_results/MyoHead_0_A102T_L114M_cluster0.pdb
MyoHead_0_A102T_L114M,https://rascar.science.uu.nl/haddock2.4/result/6886575225/385821-MyoHead_0_A102T_L114M,2,1,-81.1 +/- 5.4,33,6.2 +/- 0.2,-81.6 +/- 6.2,-213.3 +/- 26.6,17.4 +/- 4.4,256.9 +/- 43.3,2059.5 +/- 56.0,-0.7,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_llm_refinement/Haddock_results/MyoHead_0_A102T_L114M_cluster1.pdb
MyoHead_0_A102T_L114M,https://rascar.science.uu.nl/haddock2.4/result/6886575225/385821-MyoHead_0_A102T_L114M,6,2,-70.9 +/- 12.1,7,8.3 +/- 0.1,-73.7 +/- 6.2,-277.1 +/- 27.9,17.5 +/- 1.8,407.4 +/- 91.9,1797.4 +/- 51.1,0.2,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_llm_refinement/Haddock_results/MyoHead_0_A102T_L114M_cluster2.pdb
MyoHead_0_A102T_L114M,https://rascar.science.uu.nl/haddock2.4/result/6886575225/385821-MyoHead_0_A102T_L114M,5,3,-68.7 +/- 10.0,10,7.7 +/- 0.0,-81.4 +/- 7.5,-209.3 +/- 27.2,11.1 +/- 2.8,434.7 +/- 23.7,1973.6 +/- 92.8,0.4,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_llm_refinement/Haddock_results/MyoHead_0_A102T_L114M_cluster3.pdb
MyoHead_0_A102T_L114M,https://rascar.science.uu.nl/haddock2.4/result/6886575225/385821-MyoHead_0_A102T_L114M,3,4,-63.1 +/- 6.4,20,7.0 +/- 0.2,-73.8 +/- 1.5,-252.9 +/- 45.6,12.1 +/- 4.8,492.0 +/- 34.7,2071.3 +/- 49.8,0.8,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_llm_refinement/Haddock_results/MyoHead_0_A102T_L114M_cluster4.pdb
MyoHead_0_A102T_L114M,https://rascar.science.uu.nl/haddock2.4/result/6886575225/385821-MyoHead_0_A102T_L114M,4,5,-59.7 +/- 3.6,15,4.8 +/- 0.1,-82.6 +/- 1.6,-165.2 +/- 11.8,20.5 +/- 6.1,353.8 +/- 35.8,2000.8 +/- 143.9,1.1,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_llm_refinement/Haddock_results/MyoHead_0_A102T_L114M_cluster5.pdb
MyoHead_0_A102H_None,https://rascar.science.uu.nl/haddock2.4/result/6886575225/385823-MyoHead_0_A102H_None,1,0,-106.8 +/- 5.8,79,1.1 +/- 1.4,-91.0 +/- 3.6,-300.0 +/- 50.0,17.3 +/- 2.3,268.2 +/- 75.3,2172.2 +/- 70.0,-2.0,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_llm_refinement/Haddock_results/MyoHead_0_A102H_None_cluster0.pdb
MyoHead_0_A102H_None,https://rascar.science.uu.nl/haddock2.4/result/6886575225/385823-MyoHead_0_A102H_None,4,1,-88.1 +/- 3.2,8,8.0 +/- 0.4,-95.1 +/- 7.6,-231.4 +/- 60.1,12.6 +/- 2.8,407.0 +/- 62.7,2205.7 +/- 52.5,-1.0,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_llm_refinement/Haddock_results/MyoHead_0_A102H_None_cluster1.pdb
MyoHead_0_A102H_None,https://rascar.science.uu.nl/haddock2.4/result/6886575225/385823-MyoHead_0_A102H_None,3,2,-83.0 +/- 9.6,9,3.4 +/- 0.1,-77.5 +/- 5.6,-243.1 +/- 20.9,9.8 +/- 2.3,332.8 +/- 56.1,1994.7 +/- 74.1,-0.7,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_llm_refinement/Haddock_results/MyoHead_0_A102H_None_cluster2.pdb
MyoHead_0_A102H_None,https://rascar.science.uu.nl/haddock2.4/result/6886575225/385823-MyoHead_0_A102H_None,2,3,-76.3 +/- 9.8,43,3.2 +/- 0.3,-82.0 +/- 7.6,-153.0 +/- 40.8,7.7 +/- 1.6,286.4 +/- 60.0,2078.0 +/- 198.5,-0.3,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_llm_refinement/Haddock_results/MyoHead_0_A102H_None_cluster3.pdb
MyoHead_0_A102H_None,https://rascar.science.uu.nl/haddock2.4/result/6886575225/385823-MyoHead_0_A102H_None,8,4,-73.8 +/- 8.4,5,8.1 +/- 0.1,-85.2 +/- 3.4,-183.3 +/- 56.2,11.6 +/- 5.0,364.4 +/- 52.6,2014.2 +/- 95.0,-0.2,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_llm_refinement/Haddock_results/MyoHead_0_A102H_None_cluster4.pdb
MyoHead_0_A102H_None,https://rascar.science.uu.nl/haddock2.4/result/6886575225/385823-MyoHead_0_A102H_None,7,5,-69.1 +/- 5.6,5,8.0 +/- 0.1,-76.0 +/- 4.2,-210.3 +/- 34.2,12.1 +/- 1.4,368.2 +/- 32.8,1889.0 +/- 99.3,0.1,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_llm_refinement/Haddock_results/MyoHead_0_A102H_None_cluster5.pdb
MyoHead_0_A102V_None,https://rascar.science.uu.nl/haddock2.4/result/6886575225/385824-MyoHead_0_A102V_None,1,0,-105.3 +/- 2.9,115,0.9 +/- 0.6,-96.3 +/- 6.1,-276.4 +/- 21.7,15.5 +/- 4.6,308.1 +/- 69.6,2225.5 +/- 32.1,-1.7,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_llm_refinement/Haddock_results/MyoHead_0_A102V_None_cluster0.pdb
MyoHead_0_A102V_None,https://rascar.science.uu.nl/haddock2.4/result/6886575225/385824-MyoHead_0_A102V_None,3,1,-83.5 +/- 12.2,21,7.5 +/- 0.1,-76.2 +/- 4.4,-283.9 +/- 21.4,16.1 +/- 1.6,334.5 +/- 76.3,1856.4 +/- 95.4,-0.6,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_llm_refinement/Haddock_results/MyoHead_0_A102V_None_cluster1.pdb
MyoHead_0_A102V_None,https://rascar.science.uu.nl/haddock2.4/result/6886575225/385824-MyoHead_0_A102V_None,4,2,-81.0 +/- 7.7,8,3.2 +/- 0.1,-80.3 +/- 1.8,-217.7 +/- 23.7,12.1 +/- 1.0,308.5 +/- 55.8,2026.4 +/- 43.3,-0.5,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_llm_refinement/Haddock_results/MyoHead_0_A102V_None_cluster2.pdb
MyoHead_0_A102V_None,https://rascar.science.uu.nl/haddock2.4/result/6886575225/385824-MyoHead_0_A102V_None,6,3,-73.9 +/- 16.9,6,7.0 +/- 0.1,-73.4 +/- 7.5,-209.7 +/- 46.3,9.9 +/- 2.6,314.7 +/- 45.9,1993.3 +/- 171.8,-0.1,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_llm_refinement/Haddock_results/MyoHead_0_A102V_None_cluster3.pdb
MyoHead_0_A102V_None,https://rascar.science.uu.nl/haddock2.4/result/6886575225/385824-MyoHead_0_A102V_None,2,4,-69.2 +/- 2.4,25,2.9 +/- 0.1,-77.8 +/- 4.0,-135.3 +/- 17.9,12.3 +/- 1.5,234.3 +/- 54.6,1976.2 +/- 61.9,0.1,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_llm_refinement/Haddock_results/MyoHead_0_A102V_None_cluster4.pdb
MyoHead_0_A102V_None,https://rascar.science.uu.nl/haddock2.4/result/6886575225/385824-MyoHead_0_A102V_None,5,5,-49.5 +/- 6.5,6,7.8 +/- 0.1,-69.5 +/- 3.3,-175.4 +/- 25.8,12.8 +/- 1.6,422.8 +/- 52.5,1929.8 +/- 94.9,1.1,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_llm_refinement/Haddock_results/MyoHead_0_A102V_None_cluster5.pdb
MyoHead_0_L114M_A102H,https://rascar.science.uu.nl/haddock2.4/result/6886575225/385792-MyoHead_0_L114M_A102H,2,0,-90.4 +/- 7.3,51,3.2 +/- 0.3,-84.4 +/- 6.8,-271.3 +/- 32.5,14.7 +/- 3.4,335.8 +/- 68.2,2063.7 +/- 138.2,-1.1,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_llm_refinement/Haddock_results/MyoHead_0_L114M_A102H_cluster0.pdb
MyoHead_0_L114M_A102H,https://rascar.science.uu.nl/haddock2.4/result/6886575225/385792-MyoHead_0_L114M_A102H,1,1,-83.2 +/- 11.4,72,0.8 +/- 0.9,-81.4 +/- 5.0,-198.3 +/- 49.6,11.7 +/- 3.3,262.8 +/- 51.9,1996.2 +/- 128.9,-0.6,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_llm_refinement/Haddock_results/MyoHead_0_L114M_A102H_cluster1.pdb
MyoHead_0_L114M_A102H,https://rascar.science.uu.nl/haddock2.4/result/6886575225/385792-MyoHead_0_L114M_A102H,3,2,-81.5 +/- 4.3,25,2.5 +/- 0.1,-73.7 +/- 6.8,-287.6 +/- 17.5,16.2 +/- 0.9,335.8 +/- 68.2,1967.2 +/- 41.3,-0.5,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_llm_refinement/Haddock_results/MyoHead_0_L114M_A102H_cluster2.pdb
MyoHead_0_L114M_A102H,https://rascar.science.uu.nl/haddock2.4/result/6886575225/385792-MyoHead_0_L114M_A102H,5,3,-78.2 +/- 5.8,9,3.5 +/- 0.1,-83.1 +/- 2.8,-234.9 +/- 44.1,12.1 +/- 3.4,398.0 +/- 45.2,1935.9 +/- 71.0,-0.3,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_llm_refinement/Haddock_results/MyoHead_0_L114M_A102H_cluster3.pdb
MyoHead_0_L114M_A102H,https://rascar.science.uu.nl/haddock2.4/result/6886575225/385792-MyoHead_0_L114M_A102H,4,4,-65.6 +/- 5.7,11,6.3 +/- 0.2,-73.9 +/- 6.6,-248.2 +/- 38.4,14.9 +/- 1.1,431.2 +/- 43.3,1813.5 +/- 22.5,0.6,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_llm_refinement/Haddock_results/MyoHead_0_L114M_A102H_cluster4.pdb
MyoHead_0_L114M_A102H,https://rascar.science.uu.nl/haddock2.4/result/6886575225/385792-MyoHead_0_L114M_A102H,6,5,-47.5 +/- 9.4,8,8.0 +/- 0.1,-66.9 +/- 4.0,-186.1 +/- 47.0,14.0 +/- 3.0,426.6 +/- 58.8,1785.9 +/- 152.0,1.9,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_llm_refinement/Haddock_results/MyoHead_0_L114M_A102H_cluster5.pdb
MyoHead_0_A102T_L96A,https://rascar.science.uu.nl/haddock2.4/result/6886575225/385793-MyoHead_0_A102T_L96A,1,0,-89.3 +/- 2.1,81,6.0 +/- 0.1,-87.5 +/- 3.0,-219.7 +/- 13.5,13.6 +/- 4.4,285.2 +/- 45.5,2266.0 +/- 26.7,-1.8,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_llm_refinement/Haddock_results/MyoHead_0_A102T_L96A_cluster0.pdb
MyoHead_0_A102T_L96A,https://rascar.science.uu.nl/haddock2.4/result/6886575225/385793-MyoHead_0_A102T_L96A,5,1,-75.3 +/- 4.0,8,3.2 +/- 0.3,-65.3 +/- 4.5,-319.8 +/- 25.8,11.4 +/- 3.2,425.1 +/- 45.0,1911.7 +/- 80.8,-0.7,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_llm_refinement/Haddock_results/MyoHead_0_A102T_L96A_cluster1.pdb
MyoHead_0_A102T_L96A,https://rascar.science.uu.nl/haddock2.4/result/6886575225/385793-MyoHead_0_A102T_L96A,2,2,-75.2 +/- 11.7,15,5.4 +/- 0.4,-79.1 +/- 2.3,-220.5 +/- 67.1,11.6 +/- 4.4,363.7 +/- 60.2,2087.3 +/- 141.6,-0.7,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_llm_refinement/Haddock_results/MyoHead_0_A102T_L96A_cluster2.pdb
MyoHead_0_A102T_L96A,https://rascar.science.uu.nl/haddock2.4/result/6886575225/385793-MyoHead_0_A102T_L96A,6,3,-74.3 +/- 1.7,8,8.2 +/- 0.0,-88.7 +/- 6.7,-201.1 +/- 25.8,18.8 +/- 2.4,357.4 +/- 55.7,1967.7 +/- 72.4,-0.6,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_llm_refinement/Haddock_results/MyoHead_0_A102T_L96A_cluster3.pdb
MyoHead_0_A102T_L96A,https://rascar.science.uu.nl/haddock2.4/result/6886575225/385793-MyoHead_0_A102T_L96A,9,4,-70.6 +/- 8.7,5,5.0 +/- 0.0,-87.2 +/- 6.3,-200.8 +/- 38.2,16.4 +/- 0.4,403.1 +/- 61.7,2180.8 +/- 71.5,-0.3,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_llm_refinement/Haddock_results/MyoHead_0_A102T_L96A_cluster4.pdb
MyoHead_0_A102T_L96A,https://rascar.science.uu.nl/haddock2.4/result/6886575225/385793-MyoHead_0_A102T_L96A,7,5,-67.3 +/- 5.3,8,4.4 +/- 0.1,-78.7 +/- 6.3,-227.7 +/- 41.3,16.8 +/- 1.7,401.6 +/- 20.7,1968.5 +/- 67.0,-0.0,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_llm_refinement/Haddock_results/MyoHead_0_A102T_L96A_cluster5.pdb
MyoHead_0_A102V_N100D,https://rascar.science.uu.nl/haddock2.4/result/6886575225/385795-MyoHead_0_A102V_N100D,1,0,-101.0 +/- 4.2,95,8.4 +/- 0.0,-98.3 +/- 2.4,-299.5 +/- 43.0,23.5 +/- 1.0,336.9 +/- 41.8,2235.0 +/- 36.6,-1.8,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_llm_refinement/Haddock_results/MyoHead_0_A102V_N100D_cluster0.pdb
MyoHead_0_A102V_N100D,https://rascar.science.uu.nl/haddock2.4/result/6886575225/385795-MyoHead_0_A102V_N100D,6,1,-80.8 +/- 5.7,7,7.4 +/- 0.1,-82.1 +/- 5.3,-257.9 +/- 26.6,16.5 +/- 5.2,364.9 +/- 60.2,2143.8 +/- 13.8,-0.6,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_llm_refinement/Haddock_results/MyoHead_0_A102V_N100D_cluster1.pdb
MyoHead_0_A102V_N100D,https://rascar.science.uu.nl/haddock2.4/result/6886575225/385795-MyoHead_0_A102V_N100D,7,2,-78.8 +/- 23.5,4,7.8 +/- 0.2,-81.4 +/- 9.9,-246.8 +/- 85.5,12.1 +/- 2.9,399.4 +/- 40.5,2059.1 +/- 95.2,-0.5,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_llm_refinement/Haddock_results/MyoHead_0_A102V_N100D_cluster2.pdb
MyoHead_0_A102V_N100D,https://rascar.science.uu.nl/haddock2.4/result/6886575225/385795-MyoHead_0_A102V_N100D,4,3,-73.2 +/- 9.5,9,8.5 +/- 0.0,-81.4 +/- 2.8,-234.6 +/- 48.7,13.6 +/- 1.5,415.1 +/- 38.4,2073.7 +/- 139.3,-0.2,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_llm_refinement/Haddock_results/MyoHead_0_A102V_N100D_cluster3.pdb
MyoHead_0_A102V_N100D,https://rascar.science.uu.nl/haddock2.4/result/6886575225/385795-MyoHead_0_A102V_N100D,8,4,-67.9 +/- 11.7,4,6.1 +/- 0.0,-88.7 +/- 11.3,-160.2 +/- 29.2,15.0 +/- 2.7,378.7 +/- 36.8,2183.3 +/- 94.3,0.1,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_llm_refinement/Haddock_results/MyoHead_0_A102V_N100D_cluster4.pdb
