,Word,Frequency,POS
564,comfort,283,Noun
565,moon,283,Noun
566,speech,282,Noun
567,marriage,282,Noun
568,direction,281,Noun
569,desire,281,Noun
570,opportunity,281,Noun
571,dinner,281,Noun
572,wise,281,Noun
573,community,280,Noun
574,ball,280,Noun
575,tone,280,Noun
576,coast,279,Noun
577,rule,278,Noun
578,secretary,278,Noun
579,floor,277,Noun
580,noise,277,Noun
581,devil,277,Noun
582,center,276,Noun
583,wonder,276,Noun
584,bit,275,Noun
585,record,275,Noun
586,grass,275,Noun
587,justice,274,Noun
588,difficulty,274,Noun
589,joseph,274,Noun
590,walk,274,Noun
591,plain,274,Noun
592,education,273,Noun
593,game,273,Noun
594,market,273,Noun
595,edge,273,Noun
596,department,272,Noun
597,process,271,Noun
598,inhabitant,271,Noun
599,aaron,271,Noun
600,"--""",271,Noun
601,lamb,270,Noun
602,while,268,Noun
603,camp,267,Noun
604,set,267,Noun
605,lion,267,Noun
606,health,266,Noun
607,bill,266,Noun
608,beginning,266,Noun
609,elliot,266,Noun
610,appearance,265,Noun
611,hole,264,Noun
612,police,263,Noun
613,england,263,Noun
614,deck,263,Noun
615,issue,262,Noun
616,section,262,Noun
617,carriage,260,Noun
618,babylon,260,Noun
619,activity,259,Noun
620,tax,258,Noun
621,shadow,258,Noun
622,thyself,258,Noun
623,call,255,Noun
624,charles,255,Noun
625,trial,255,Noun
626,cubit,255,Noun
627,passage,254,Noun
628,branch,254,Noun
629,holy,254,Noun
630,enter,254,Noun
631,cattle,254,Noun
632,increase,253,Noun
633,wheel,253,Noun
634,conversation,253,Noun
635,churchill,253,Noun
636,border,252,Noun
637,chief,252,Noun
638,loss,252,Noun
639,meaning,252,Noun
640,box,252,Noun
641,dashwood,252,Noun
642,ark,252,Noun
643,witness,250,Noun
644,principle,250,Noun
645,elder,250,Noun
646,union,249,Noun
647,university,248,Noun
648,post,247,Noun
649,future,247,Noun
650,share,247,Noun
651,america,247,Noun
652,evidence,246,Noun
653,taste,246,Noun
654,language,246,Noun
655,yea,246,Noun
656,inheritance,246,Noun
657,affair,245,Noun
658,advantage,245,Noun
659,poet,245,Noun
660,mighty,245,Noun
661,duty,244,Noun
662,station,244,Noun
663,shore,244,Noun
664,breath,244,Noun
665,wing,243,Noun
666,south,243,Noun
667,spot,242,Noun
668,soldier,242,Noun
669,rain,242,Noun
670,tent,242,Noun
671,drink,242,Noun
672,hold,242,Noun
673,spake,242,Noun
674,bank,241,Noun
675,everybody,241,Noun
676,danger,240,Noun
677,coat,240,Noun
678,speak,240,Noun
679,professor,239,Noun
680,yard,239,Noun
681,pool,239,Noun
682,prayer,239,Noun
683,west,238,Noun
684,wrath,238,Noun
685,bar,237,Noun
686,authority,237,Noun
687,stock,237,Noun
688,flock,237,Noun
689,paul,237,Noun
690,thence,237,Noun
691,happiness,237,Noun
692,farm,236,Noun
693,teeth,236,Noun
694,movement,235,Noun
695,industry,235,Noun
696,mark,235,Noun
697,watch,235,Noun
698,march,234,Noun
699,statement,234,Noun
700,occasion,234,Noun
701,acquaintance,234,Noun
702,promise,233,Noun
703,tear,233,Noun
704,fairfax,233,Noun
705,leader,232,Noun
706,dark,232,Noun
707,twenty,232,Noun
708,operation,231,Noun
709,relation,231,Noun
710,pressure,231,Noun
711,towards,231,Noun
712,jennings,231,Noun
713,influence,230,Noun
714,concern,230,Noun
715,east,230,Noun
716,science,229,Noun
717,fool,229,Noun
718,choice,228,Noun
719,stand,228,Noun
720,vain,228,Noun
721,!,228,Noun
722,minister,227,Noun
723,eat,227,Noun
724,color,226,Noun
725,control,224,Noun
726,path,224,Noun
727,news,224,Noun
728,affection,224,Noun
729,square,223,Noun
730,yourselves,223,Noun
731,gift,222,Noun
732,amount,222,Noun
733,let,222,Noun
734,instance,221,Noun
735,vision,221,Noun
736,show,221,Noun
737,garment,221,Noun
738,neighbour,221,Noun
739,gun,220,Noun
740,poem,220,Noun
741,chamber,219,Noun
742,source,219,Noun
743,countenance,218,Noun
744,size,217,Noun
745,talk,217,Noun
746,pharaoh,217,Noun
747,volume,216,Noun
748,anyone,216,Noun
749,mass,216,Noun
750,command,216,Noun
751,quality,216,Noun
752,possession,216,Noun
753,portion,215,Noun
754,machine,215,Noun
755,bear,215,Noun
756,morrow,215,Noun
757,counsel,214,Noun
758,decision,214,Noun
759,shop,214,Noun
760,chair,214,Noun
761,style,214,Noun
762,delight,214,Noun
763,product,213,Noun
764,winter,213,Noun
765,forest,213,Noun
766,crew,213,Noun
767,dust,213,Noun
768,consequence,213,Noun
769,smith,212,Noun
770,quarter,212,Noun
771,clay,212,Noun
772,caesar,211,Noun
773,firm,210,Noun
774,pocket,210,Noun
775,element,210,Noun
776,understanding,210,Noun
777,bottom,210,Noun
778,weapon,210,Noun
779,religion,210,Noun
780,.,210,Noun
781,skin,209,Noun
782,weight,208,Noun
783,self,208,Noun
784,afterwards,208,Noun
785,yesterday,207,Noun
786,come,207,Noun
787,fortune,207,Noun
788,lucy,207,Noun
789,instant,207,Noun
790,park,206,Noun
791,instrument,206,Noun
792,peter,205,Noun
793,county,204,Noun
794,cross,204,Noun
795,dance,204,Noun
796,memory,204,Noun
797,circle,204,Noun
798,pride,204,Noun
799,expression,204,Noun
800,trade,203,Noun
801,attitude,203,Noun
802,solomon,203,Noun
803,chariot,203,Noun
804,stubb,203,Noun
805,couple,202,Noun
806,salvation,202,Noun
807,project,201,Noun
808,claim,201,Noun
809,regard,201,Noun
810,list,201,Noun
811,club,201,Noun
812,well,201,Noun
813,sailor,201,Noun
814,parent,200,Noun
815,whole,200,Noun
816,growth,200,Noun
817,heat,200,Noun
818,knee,199,Noun
819,leaf,199,Noun
820,wherefore,199,Noun
821,queen,198,Noun
822,sorrow,198,Noun
823,washington,197,Noun
824,sale,196,Noun
825,frank,196,Noun
826,inch,196,Noun
827,wish,196,Noun
828,ve,196,Noun
829,journey,195,Noun
830,sleep,195,Noun
831,committee,194,Noun
832,confidence,194,Noun
833,organization,194,Noun
834,basis,194,Noun
835,performance,194,Noun
836,animal,194,Noun
837,pas,194,Noun
838,jordan,194,Noun
839,saith,194,Noun
840,wentworth,194,Noun
841,ll,194,Noun
842,pattern,193,Noun
843,ghost,193,Noun
844,ma,193,Noun
845,ox,193,Noun
846,staff,192,Noun
847,weather,192,Noun
848,height,192,Noun
849,flame,192,Noun
850,root,192,Noun
851,sheep,192,Noun
852,crowd,191,Noun
853,unit,191,Noun
854,addition,191,Noun
855,statute,191,Noun
856,maid,190,Noun
857,shame,190,Noun
858,unto,190,Noun
859,fight,189,Noun
860,good,189,Noun
861,london,189,Noun
862,cell,189,Noun
863,ourselves,189,Noun
864,horn,189,Noun
865,knife,189,Noun
866,cent,188,Noun
867,edward,188,Noun
868,dress,188,Noun
869,governor,187,Noun
870,district,187,Noun
871,freedom,187,Noun
872,success,187,Noun
873,cousin,187,Noun
874,oh,187,Noun
875,prison,186,Noun
876,blue,186,Noun
877,attempt,186,Noun
878,surprise,186,Noun
879,approach,186,Noun
880,theory,186,Noun
881,guinea,186,Noun
882,spite,186,Noun
883,practice,185,Noun
884,teacher,185,Noun
885,trust,185,Noun
886,past,184,Noun
887,base,184,Noun
888,abraham,184,Noun
889,design,184,Noun
890,tail,184,Noun
891,feast,184,Noun
892,brain,182,Noun
893,band,182,Noun
894,research,181,Noun
895,aid,181,Noun
896,north,181,Noun
897,farmer,181,Noun
898,ram,181,Noun
899,hotel,180,Noun
900,walter,180,Noun
901,key,180,Noun
902,woe,180,Noun
903,",)",180,Noun
904,council,179,Noun
905,test,179,Noun
906,corn,179,Noun
907,defense,178,Noun
908,possibility,178,Noun
909,factor,178,Noun
910,train,178,Noun
911,region,178,Noun
912,chain,177,Noun
913,foundation,177,Noun
914,thirty,177,Noun
915,bottle,177,Noun
916,james,176,Noun
917,labor,176,Noun
918,pound,176,Noun
919,sand,176,Noun
920,engagement,176,Noun
921,association,175,Noun
922,row,175,Noun
923,palace,175,Noun
924,deed,175,Noun
925,importance,175,Noun
926,attorney,174,Noun
927,audience,174,Noun
928,store,174,Noun
929,passion,174,Noun
930,voyage,174,Noun
931,afternoon,173,Noun
932,hero,173,Noun
933,testimony,173,Noun
934,ruler,173,Noun
935,ring,173,Noun
936,feature,173,Noun
937,basket,173,Noun
938,colour,173,Noun
939,.),173,Noun
940,crown,172,Noun
941,data,172,Noun
942,liberty,172,Noun
943,sail,172,Noun
944,substance,171,Noun
945,messenger,171,Noun
946,shot,170,Noun
947,mate,170,Noun
948,writer,170,Noun
949,wait,170,Noun
950,breakfast,170,Noun
951,lo,170,Noun
952,th,170,Noun
953,pequod,170,Noun
954,tower,169,Noun
955,range,169,Noun
956,aspect,169,Noun
957,equipment,169,Noun
958,sabbath,169,Noun
959,cup,169,Noun
960,lie,169,Noun
961,bell,169,Noun
962,saint,169,Noun
963,aye,169,Noun
964,robert,168,Noun
965,individual,168,Noun
966,message,168,Noun
967,francisco,168,Noun
968,curiosity,168,Noun
969,reaction,167,Noun
970,middle,167,Noun
971,speed,167,Noun
972,buster,167,Noun
973,rise,167,Noun
974,willoughby,167,Noun
975,administration,166,Noun
976,support,166,Noun
977,terror,166,Noun
978,temperature,166,Noun
979,stick,166,Noun
980,destruction,166,Noun
981,thanks,165,Noun
982,fund,165,Noun
983,bond,165,Noun
984,division,165,Noun
985,artist,165,Noun
986,fashion,165,Noun
987,fault,165,Noun
988,brass,165,Noun
989,dr,165,Noun
990,louisa,165,Noun
991,ephraim,165,Noun
992,birth,164,Noun
993,violence,164,Noun
994,talent,164,Noun
995,benjamin,164,Noun
996,favour,164,Noun
997,st,164,Noun
998,stream,163,Noun
999,motion,163,Noun
1000,cottage,163,Noun
1001,shoe,163,Noun
1002,ocean,163,Noun
1003,rod,163,Noun
1004,queequeg,163,Noun
1005,function,162,Noun
1006,patient,162,Noun
1007,impression,162,Noun
1008,joshua,162,Noun
1009,heathen,162,Noun
1010,detail,161,Noun
1011,press,161,Noun
1012,standard,161,Noun
1013,uncle,161,Noun
1014,middleton,161,Noun
1015,beard,160,Noun
1016,kindness,160,Noun
1017,v,160,Noun
1018,dollar,159,Noun
1019,production,159,Noun
1020,trumpet,159,Noun
1021,vanity,159,Noun
1022,smoke,159,Noun
1023,bullock,159,Noun
1024,resolution,158,Noun
1025,arthur,158,Noun
1026,bull,158,Noun
1027,dear,158,Noun
1028,zion,158,Noun
1029,election,157,Noun
1030,burden,157,Noun
1031,left,157,Noun
1032,technique,157,Noun
1033,tradition,157,Noun
1034,adam,157,Noun
1035,milk,156,Noun
1036,grave,156,Noun
1037,treasure,156,Noun
1038,ti,156,Noun
1039,moab,156,Noun
1040,abomination,156,Noun
1041,population,155,Noun
1042,energy,155,Noun
1043,kid,155,Noun
1044,ah,155,Noun
1045,existence,155,Noun
1046,notion,154,Noun
1047,pillar,154,Noun
1048,demand,153,Noun
1049,plane,153,Noun
1050,moreover,153,Noun
1051,mast,153,Noun
1052,sunday,152,Noun
1053,worker,152,Noun
1054,income,152,Noun
1055,touch,152,Noun
1056,progress,152,Noun
1057,jack,152,Noun
1058,conduct,152,Noun
1059,treatment,152,Noun
1060,anybody,152,Noun
1061,nose,152,Noun
1062,habit,152,Noun
1063,don't,151,Noun
1064,pair,151,Noun
1065,guest,151,Noun
1066,series,150,Noun
1067,responsibility,150,Noun
1068,run,150,Noun
1069,idol,150,Noun
1070,lover,150,Noun
1071,susan,150,Noun
1072,institution,150,Noun
1073,breast,150,Noun
1074,bates,150,Noun
1075,date,149,Noun
1076,manager,149,Noun
1077,male,149,Noun
1078,proof,149,Noun
1079,virtue,149,Noun
1080,conscience,149,Noun
1081,throat,149,Noun
1082,ease,149,Noun
1083,congress,148,Noun
1084,cook,148,Noun
1085,kennedy,148,Noun
1086,baby,148,Noun
1087,card,148,Noun
1088,flood,148,Noun
1089,glance,148,Noun
1090,whence,148,Noun
1091,joe,147,Noun
1092,commission,147,Noun
1093,newspaper,147,Noun
1094,confusion,147,Noun
1095,guard,147,Noun
1096,samuel,147,Noun
1097,storm,147,Noun
1098,entrance,147,Noun
1099,suburb,147,Noun
1100,tell,147,Noun
1101,consideration,147,Noun
1102,secret,146,Noun
1103,emotion,146,Noun
1104,communication,146,Noun
1105,literature,146,Noun
1106,jaw,146,Noun
1107,hospital,145,Noun
1108,procedure,145,Noun
1109,expense,145,Noun
1110,discussion,145,Noun
1111,interval,145,Noun
1112,flight,145,Noun
1113,imagination,145,Noun
1114,ha,145,Noun
1115,mistress,145,Noun
1116,credit,144,Noun
1117,remark,144,Noun
1118,argument,144,Noun
1119,russell,144,Noun
1120,bath,144,Noun
1121,lamp,144,Noun
1122,sex,144,Noun
1123,universe,144,Noun
1124,pit,144,Noun
1125,.--,144,Noun
1126,item,143,Noun
1127,citizen,143,Noun
1128,george,143,Noun
1129,martin,143,Noun
1130,murder,143,Noun
1131,salt,143,Noun
1132,shade,143,Noun
1133,fat,143,Noun
1134,pity,143,Noun
1135,bridge,142,Noun
1136,gentile,142,Noun
1137,snow,142,Noun
1138,lad,142,Noun
1139,yes,142,Noun
1140,william,141,Noun
1141,notice,141,Noun
1142,rank,141,Noun
1143,model,141,Noun
1144,role,141,Noun
1145,roof,141,Noun
1146,thief,141,Noun
1147,cecilia,141,Noun
1148,temper,141,Noun
1149,fury,141,Noun
1150,assistance,140,Noun
1151,somebody,140,Noun
1152,everyone,140,Noun
1153,lay,140,Noun
1154,mistake,140,Noun
1155,reality,140,Noun
1156,pot,140,Noun
1157,vineyard,140,Noun
1158,?,140,Noun
1159,blow,139,Noun
1160,palmer,139,Noun
1161,negro,139,Noun
1162,stair,139,Noun
1163,bag,139,Noun
1164,plague,139,Noun
1165,article,139,Noun
1166,shekel,139,Noun
1167,owner,138,Noun
1168,observation,138,Noun
1169,fancy,138,Noun
1170,saw,138,Noun
1171,mouse,138,Noun
1172,bare,138,Noun
1173,piedro,138,Noun
1174,starbuck,138,Noun
1175,conference,137,Noun
1176,widow,137,Noun
1177,europe,137,Noun
1178,satisfaction,137,Noun
1179,waste,137,Noun
1180,captivity,137,Noun
1181,drop,136,Noun
1182,error,136,Noun
1183,structure,136,Noun
1184,kitchen,136,Noun
1185,experiment,136,Noun
1186,extent,136,Noun
1187,depth,136,Noun
1188,!--,136,Noun
1189,variety,135,Noun
1190,reward,135,Noun
1191,yours,135,Noun
1192,twelve,135,Noun
1193,brandon,135,Noun
1194,begat,135,Noun
1195,harpooneer,135,Noun
1196,beach,134,Noun
1197,conclusion,134,Noun
1198,clock,134,Noun
1199,mystery,134,Noun
1200,bound,134,Noun
1201,relationship,134,Noun
1202,soil,134,Noun
1203,goat,134,Noun
1204,curse,134,Noun
1205,thunder,134,Noun
1206,harriet,134,Noun
1207,attack,133,Noun
1208,cut,133,Noun
1209,agreement,133,Noun
1210,virgin,133,Noun
1211,c,133,Noun
1212,france,133,Noun
1213,friendship,133,Noun
1214,brutus,133,Noun
1215,agency,132,Noun
1216,training,132,Noun
1217,block,132,Noun
1218,film,132,Noun
1219,necessity,132,Noun
